Wall time,Step,Value
1531485884.913842,0,273.8848876953125
1531485895.5106518,1000,187.40670776367188
1531485906.0225763,2000,210.64990234375
1531485916.566311,3000,211.33724975585938
1531485927.1092324,4000,154.62322998046875
1531485937.6363158,5000,238.0426025390625
1531485948.195196,6000,79.78810119628906
1531485958.7217758,7000,174.10394287109375
1531485969.2486186,8000,194.43109130859375
1531485979.791066,9000,181.54559326171875
1531485990.3182008,10000,174.03414916992188
1531486000.8458707,11000,182.9282684326172
1531486011.4117312,12000,210.85548400878906
1531486021.92447,13000,183.62767028808594
1531486032.4525528,14000,155.027587890625
1531486043.1436949,15000,81.38990783691406
1531486053.7096956,16000,211.0455322265625
1531486064.3161538,17000,113.98818969726562
1531486074.9665384,18000,79.32014465332031
1531486085.5575383,19000,198.38629150390625
1531486096.1376522,20000,204.83218383789062
1531486106.6651993,21000,56.891563415527344
1531486117.1926143,22000,88.32907104492188
1531486127.7667878,23000,162.4771728515625
1531486138.262769,24000,164.26214599609375
1531486148.8601558,25000,78.52005767822266
1531486159.403577,26000,164.60897827148438
1531486169.9090698,27000,150.15505981445312
1531486180.4367242,28000,19.30881118774414
1531486190.987331,29000,223.32118225097656
1531486201.5000498,30000,156.98670959472656
1531486212.0055623,31000,92.80977630615234
1531486222.5324285,32000,222.24806213378906
1531486233.1127775,33000,159.88436889648438
1531486243.6400678,34000,53.22005081176758
1531486254.1991575,35000,18.20235824584961
1531486264.6797848,36000,111.27493286132812
1531486275.2071989,37000,136.464111328125
1531486285.7194762,38000,22.68014144897461
1531486296.2251725,39000,176.1660614013672
1531486306.7678008,40000,18.541826248168945
1531486317.2631514,41000,59.259517669677734
1531486327.758882,42000,26.594797134399414
1531486338.3864355,43000,203.84487915039062
1531486348.9135594,44000,79.19944763183594
1531486359.425509,45000,228.5093994140625
1531486369.9373581,46000,168.65219116210938
1531486380.6100764,47000,136.47848510742188
1531486391.1902554,48000,111.37401580810547
1531486401.7654812,49000,177.21890258789062
1531486412.3603263,50000,13.01957893371582
