Wall time,Step,Value
1531485118.6477368,0,309.1087646484375
1531485129.3725183,1000,272.0413818359375
1531485140.180192,2000,294.92138671875
1531485151.066204,3000,202.00270080566406
1531485161.9193494,4000,185.65576171875
1531485172.6889231,5000,212.34300231933594
1531485183.4293604,6000,147.27288818359375
1531485194.1585097,7000,210.0003662109375
1531485204.8714206,8000,183.05484008789062
1531485215.5766757,9000,250.84384155273438
1531485226.294595,10000,184.69683837890625
1531485237.0342007,11000,204.34910583496094
1531485247.8164628,12000,164.73609924316406
1531485258.5804186,13000,203.8321533203125
1531485269.274378,14000,131.23980712890625
1531485279.9877584,15000,55.510169982910156
1531485290.7277114,16000,166.63209533691406
1531485301.420406,17000,108.28852081298828
1531485312.1520703,18000,64.9320297241211
1531485322.8450353,19000,185.16587829589844
1531485333.5487716,20000,207.07716369628906
1531485344.2364979,21000,83.37045288085938
1531485354.9712734,22000,91.22280883789062
1531485365.6882763,23000,177.71395874023438
1531485376.445615,24000,133.69154357910156
1531485387.2208152,25000,86.8493881225586
1531485397.9203796,26000,160.2715301513672
1531485408.7253363,27000,99.15428924560547
1531485419.4156358,28000,30.988126754760742
1531485430.1235545,29000,183.78326416015625
1531485440.8463044,30000,75.12202453613281
1531485451.5289345,31000,95.45185852050781
1531485462.2579868,32000,198.2892608642578
1531485473.0248988,33000,189.14620971679688
1531485483.747678,34000,75.9233169555664
1531485494.447474,35000,17.477792739868164
1531485505.1543624,36000,59.97357940673828
1531485515.8749802,37000,141.39688110351562
1531485526.5940053,38000,17.91802978515625
1531485537.3194847,39000,202.63975524902344
1531485548.0216863,40000,20.230939865112305
1531485558.7683172,41000,30.33129119873047
1531485569.4470184,42000,34.46997833251953
1531485580.1484299,43000,159.10372924804688
1531485590.8619812,44000,86.92308807373047
1531485601.5972364,45000,158.0936279296875
1531485612.2795825,46000,245.79086303710938
1531485622.982717,47000,116.63412475585938
1531485633.6701994,48000,88.47640991210938
1531485644.380197,49000,155.66696166992188
1531485655.23063,50000,12.838736534118652
