Wall time,Step,Value
1531514976.0519726,0,275.55029296875
1531514992.921776,1000,219.12667846679688
1531515009.4116585,2000,225.60794067382812
1531515026.0051844,3000,240.26220703125
1531515042.6174927,4000,217.70095825195312
1531515059.2608593,5000,166.345703125
1531515075.7033184,6000,141.8309326171875
1531515092.0926454,7000,115.44231414794922
1531515108.5203495,8000,216.10292053222656
1531515124.9105153,9000,261.43896484375
1531515141.3229527,10000,184.7518310546875
1531515157.6821578,11000,205.00271606445312
1531515174.0942261,12000,237.01217651367188
1531515190.5057123,13000,72.70413208007812
1531515206.911333,14000,186.37594604492188
1531515223.2698042,15000,240.9166259765625
1531515239.6819031,16000,170.86378479003906
1531515256.1058311,17000,199.62454223632812
1531515272.549455,18000,183.54342651367188
1531515288.94006,19000,145.91070556640625
1531515305.4526002,20000,175.77713012695312
