Wall time,Step,Value
1531456294.5693252,0,293.5986633300781
1531456416.5000317,1000,126.36113739013672
1531456538.2842734,2000,129.26513671875
1531456660.682745,3000,187.80067443847656
1531456782.7206697,4000,217.96524047851562
1531456904.4825566,5000,47.74002456665039
1531457030.3674521,6000,33.83961868286133
1531457156.5654883,7000,36.80768966674805
1531457287.616139,8000,167.73776245117188
1531457415.1576958,9000,176.9994354248047
1531457541.3693912,10000,28.326427459716797
1531457667.5774164,11000,3.505704402923584
1531457793.134461,12000,38.474552154541016
1531457918.8811119,13000,2.80841326713562
1531458044.3823543,14000,15.488779067993164
1531458169.9244928,15000,17.323745727539062
1531458295.6650877,16000,216.7418212890625
1531458421.4625847,17000,19.596332550048828
1531458546.7658794,18000,128.361328125
1531458671.631581,19000,11.109085083007812
1531458796.5600994,20000,14.9716796875
